,Breed,Country of Origin,Fur Color,Height (in),Color of Eyes,Longevity (yrs),Character Traits,Common Health Problems,Size,Exercise,Grooming,Coat_lenght,Town_country,Size_garden,informacion
0,Labrador Retriever,Canada,"Yellow, Black, Chocolate",21-24,Brown,10-12,"Loyal, friendly, intelligent, energetic, good-natured","Hip dysplasia, obesity, ear infections",NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo
1,German Shepherd,Germany,"Black, Tan",22-26,Brown,7-10,"Loyal, intelligent, protective, confident, trainable","Hip dysplasia, elbow dysplasia, pancreatitis",NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo
2,Bulldog,England,"White, Red",12-16,Brown,8-10,"Loyal, calm, gentle, brave","Skin allergies, respiratory issues, obesity",Medium,Up to 1 hour per day,Once a week,Short,Either,Small/ medium garden,NoInfo
3,Poodle,France,"White, Black, Brown, Apricot",10-15,"Brown, Blue",12-15,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones",NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo
4,Beagle,England,"White, Tan, Red, Lemon",13-15,Brown,12-15,"Curious, friendly, energetic, good-natured","Ear infections, hip dysplasia, epilepsy",Small,Up to 1 hour per day,Once a week,Short,Either,Small/ medium garden,"Within the breed dogs, we find the surprising English beagle or beagle, which draws attention for its physical resemblance to the foxhound. Even so, this specimen is much smaller in size but has longer ears. Even so, all the characteristics of the beagle are..."
5,Chihuahua,Mexico,"Black, Brown, Tan, White",6-9,"Brown, Blue",12-20,"Loyal, energetic, confident, sensitive","Dental problems, eye issues, respiratory issues",NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,"The Chihuahua or Chihuahua is a small dog breed very popular for its small size. In addition to being an adorable pet, he is an intelligent, restless and curious companion who will offer all his love to those who take care of him. It comes from Mexico, specifically from Chihuahua, the state where..."
6,Boxer,Germany,"Fawn, Brindle",21-25,Brown,10-12,"Loyal, energetic, intelligent, playful, protective","Hip dysplasia, cancer, heart conditions",Large,More than 2 hours per day,Once a week,Short,Either,Large garden,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  20 HOURS 23 MINUTES 29 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
7,Golden Retriever,Scotland,Golden,21-24,Brown,10-12,"Intelligent, friendly, kind, loyal, good-natured","Hip dysplasia, cancer, skin allergies",NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo
8,Pug,China,"Fawn, Black",10-14,Brown,12-15,"Loyal, playful, affectionate, social, charming","Eye problems, respiratory issues, obesity",Small,Up to 1 hour per day,Once a week,Short,Either,Small/ medium garden,NoInfo
9,Rottweiler,Germany,"Black, Tan",22-27,Brown,8-10,"Loyal, protective, confident, strong","Hip dysplasia, cancer, elbow dysplasia",Large,More than 2 hours per day,Once a week,Short,Either,Large garden,NoInfo
